タイトル,PV,CTR,PV単価,公開日
【漫画】彼氏が突然プロポーズしてきた結果...,85000,0.065,0.55,2025-01-15
【実話】職場の先輩に恋をした私の末路,72000,0.058,0.48,2025-01-14
【衝撃】元カレから突然の連絡が来た話,68000,0.062,0.52,2025-01-13
【漫画】友達の彼氏がイケメンすぎて困った,55000,0.045,0.42,2025-01-12
【実録】婚活アプリで出会った人がまさかの...,51000,0.048,0.45,2025-01-11
【漫画】彼氏の浮気を疑ったら真実は...,48000,0.052,0.46,2025-01-10
【体験談】年下男子に告白されて動揺した話,45000,0.041,0.38,2025-01-09
【漫画】合コンで運命の人に出会った結果,42000,0.039,0.36,2025-01-08
【実話】遠距離恋愛3年目の私たちの決断,38000,0.044,0.40,2025-01-07
【漫画】元カノと偶然再会した彼の反応,35000,0.038,0.35,2025-01-06
【衝撃】友達が突然の妊娠報告をしてきた,32000,0.042,0.37,2025-01-05
【漫画】理想の結婚相手の条件を語ったら,30000,0.036,0.33,2025-01-04
【実録】職場恋愛がバレた時の対処法,28000,0.035,0.32,2025-01-03
【漫画】彼氏の家族に初めて会った時の話,25000,0.033,0.30,2025-01-02
【体験談】同窓会で初恋の人と再会した,22000,0.031,0.28,2025-01-01
【漫画】バレンタインデーに起きた奇跡,20000,0.029,0.26,2024-12-31
【実話】マッチングアプリの初デート失敗談,18000,0.027,0.24,2024-12-30
【漫画】友達の結婚式で感動した瞬間,15000,0.025,0.22,2024-12-29
【実録】彼氏との初旅行で分かったこと,13000,0.023,0.20,2024-12-28
【漫画】告白して振られた後の友情,10000,0.021,0.18,2024-12-27
【体験談】社内恋愛のメリットとデメリット,45000,0.040,0.39,2024-12-26
【漫画】彼氏の元カノと遭遇した話,52000,0.047,0.44,2024-12-25
【実話】クリスマスに一人で過ごした私,35000,0.037,0.34,2024-12-24
【漫画】年上女性に惹かれる理由,48000,0.043,0.41,2024-12-23
【実録】結婚を意識し始めたきっかけ,41000,0.042,0.38,2024-12-22
【漫画】デート中に起きたハプニング,38000,0.039,0.36,2024-12-21
【体験談】片思いを実らせた方法,33000,0.036,0.33,2024-12-20
【漫画】彼氏の本音を知ってしまった,44000,0.041,0.40,2024-12-19
【実話】友達以上恋人未満の関係,29000,0.034,0.31,2024-12-18
【漫画】運命の出会いを信じた結果,36000,0.038,0.35,2024-12-17
【実録】彼氏の母親が厳しすぎる,42000,0.040,0.39,2024-12-16
【漫画】同棲生活で見えた彼の本性,47000,0.044,0.42,2024-12-15
【体験談】プロポーズの理想と現実,31000,0.035,0.32,2024-12-14
【漫画】婚約破棄された友達の話,28000,0.033,0.30,2024-12-13
【実話】恋愛相談された時の対応,24000,0.030,0.27,2024-12-12
【漫画】彼氏の浮気相手と対峙した,55000,0.049,0.46,2024-12-11
【実録】遠距離から同棲への道のり,27000,0.032,0.29,2024-12-10
【漫画】理想の告白シチュエーション,21000,0.028,0.25,2024-12-09
【体験談】初めての彼氏ができた話,19000,0.026,0.23,2024-12-08
【漫画】友達の恋愛を応援した結果,16000,0.024,0.21,2024-12-07
